company,website,story_cluster,tags,description,why_you_have_a_case,profile_evidence,target_roles,priority,organization_type,team_size,city,source_url,verification_status
Mercor,https://mercor.com,ai_expert_network_high_velocity,"artificial-intelligence,expert-network,hiring,recruiting-tech,data-labeling,workflow-automation,marketplace","AI talent marketplace matching human domain experts to frontier labs; runs a proprietary AI interviewing/vetting platform. ~$2B ARR run rate, ~400 FT staff, $10B Series C (Oct 2025), in talks at $20B (Jul 2026).","Mercor's core product is AI-driven candidate interviewing/vetting plus a talent-labor marketplace: this is exactly the FlairX AI-interview + ResumeGenerator/Outreach recruiting-engine problem space. Direct pitch on candidate evaluation, matching, and human-in-the-loop workflows.","FlairX AI PM internship (AI interviews); ResumeGenerator + Outreach recruiting engine; Hevo data-pipeline engineering; Marshall MBA + 5yr engineer.","Strategic projects, product ops, forward-deployed, product, growth, founder/exec",core,company,~400 FT,San Francisco,https://mercor.com/careers/,web_verified_2026_07
Handshake AI,https://joinhandshake.com,ai_expert_network_high_velocity,"artificial-intelligence,expert-network,recruiting-tech,hiring,data-labeling,marketplace,university-network","AI-training/data-labeling division of Handshake (the university career network), using its 18M+ student/expert network for RLHF and model eval. ~$1.1B annualized gross revenue (Apr 2026), $3.5B valuation.","Handshake is the university career-network vendor (USC uses it), and Handshake AI turns that network into a labeling/eval marketplace. Doubles as a warm USC/Trojan angle plus a direct recruiting-tech + expert-marketplace fit with FlairX/Outreach.","FlairX AI PM internship; Outreach/ResumeGenerator recruiting engine; USC Marshall MBA (Handshake is USC's platform); data engineering at Hevo.","Strategic projects, product ops, product, growth, forward-deployed",core,company,~2900,San Francisco,https://joinhandshake.com,web_verified_2026_07
Surge AI,https://www.surgehq.ai,ai_expert_network_high_velocity,"artificial-intelligence,expert-network,data-labeling,rlhf,remote-first,workflow-automation","Bootstrapped RLHF/data-labeling leader serving Google, OpenAI, Anthropic. ~$1.2B revenue (2024), in talks to raise at $15B+. Fully remote culture.","Surge runs high-quality expert labeling and RLHF workflows at scale; Hevo data-pipeline + FlairX applied-AI background maps to data-quality ops and eval workflow product. Remote-first removes the LA constraint.","Hevo data/pipeline engineering; FlairX AI PM internship; L'Oreal AI workflow project; Outreach automation system.","Product ops, strategic projects, product, forward-deployed, growth",priority,company,remote,Remote,https://www.surgehq.ai,web_verified_2026_07
Micro1,https://www.micro1.ai,ai_expert_network_high_velocity,"artificial-intelligence,expert-network,recruiting-tech,hiring,data-labeling,marketplace","AI vetting + contractor-management platform for data labeling/training; ~3 yrs old, $35M Series A at $500M valuation (01 Advisors). ~$300M annualized (Apr 2026). Smallest/most founder-accessible of the lane.","Micro1's AI interview/vetting engine is a near-mirror of FlairX; small enough that a founder/early operator can create a fall product/ops slot on the spot. Highest founder-yes probability in this bucket.","FlairX AI PM internship (AI interviews); Outreach/ResumeGenerator recruiting engine; data engineering; Marshall MBA.","Founder/exec, product, product ops, strategic projects, forward-deployed",core,startup,~50-150,San Francisco,https://www.micro1.ai,web_verified_2026_07
Turing,https://www.turing.com,ai_expert_network_high_velocity,"artificial-intelligence,expert-network,coding-data,reasoning,developer-talent,marketplace,india","Coding/reasoning data + AGI-advancement talent platform; $2.2B valuation ($111M raise Mar 2025). Large India engineering footprint.","Turing pairs a developer-talent marketplace with coding/reasoning data ops; strong Thapar/India warm-path plus a former-engineer credibility fit for forward-deployed / product-ops work.","5yr engineer (data platforms); Thapar/India network; FlairX AI PM; Outreach recruiting engine.","Forward-deployed, product ops, strategic projects, product, growth",priority,company,~1000+,Palo Alto,https://www.turing.com,web_verified_2026_07
Invisible Technologies,https://www.invisible.co,ai_expert_network_high_velocity,"artificial-intelligence,expert-network,rlhf,operations-as-a-service,workflow-automation,remote-first","RLHF + operations-as-a-service provider (Microsoft, Cohere, Mistral, Perplexity). ~$134M rev 2024 (profitable), $100M raise Sep 2025 at $2B+. Remote-first.","Invisible's ops-as-a-service + workflow-automation model is a direct match to Outreach/ResumeGenerator agentic-ops work and Hevo pipeline ops. Remote-first removes LA constraint; profitable and scaling fast.","Outreach + ResumeGenerator agentic ops systems; Hevo data ops; FlairX applied AI; L'Oreal AI workflow.","Product ops, strategic projects, forward-deployed, product, operations",priority,company,~3000+ contractors,Remote,https://www.invisible.co,web_verified_2026_07
Labelbox,https://labelbox.com,ai_expert_network_high_velocity,"artificial-intelligence,data-labeling,expert-network,model-evaluation,data-platform,rlhf","Data-annotation + model-evaluation platform (founded 2018, Manu Sharma) bundled with Alignerr, its managed expert-annotator network. Positioned as the neutral independent alternative post-Scale exodus.","Labelbox is a data-platform + eval product at core: Hevo data-infra background plus applied-AI eval work (FlairX) gives a platform/product-ops pitch. Alignerr network side matches recruiting/marketplace ops.","Hevo data-platform engineering; FlairX AI PM; Outreach/ResumeGenerator; Marshall MBA.","Product, product ops, strategic projects, forward-deployed, data product",priority,company,~200-500,San Francisco,https://labelbox.com,web_verified_2026_07
Snorkel AI,https://snorkel.ai,ai_expert_network_high_velocity,"artificial-intelligence,data-labeling,data-centric-ai,expert-network,model-evaluation,data-platform","Data-centric AI platform (programmatic labeling + expert data-development + eval) out of Stanford AI lab; Series C, ~$1B valuation. Enterprise + frontier-lab data development.","Snorkel's data-development/eval platform is a direct data-infra + applied-AI fit: Hevo pipelines + FlairX applied AI support a platform-product or product-ops pitch.","Hevo data engineering; FlairX AI PM; L'Oreal AI workflow; Outreach system.","Product, product ops, strategic projects, forward-deployed, data product",priority,company,~200-400,Redwood City,https://snorkel.ai,web_verified_2026_07
Toloka,https://toloka.ai,ai_expert_network_high_velocity,"artificial-intelligence,data-labeling,expert-network,rlhf,crowdsourcing,marketplace","Global data-labeling / expert-data platform for LLM training and eval; crowd + expert workforce serving frontier labs.","Toloka's expert-data marketplace + workflow ops match the recruiting-engine and data-ops story; broad remote workforce ops fit for product-ops/forward-deployed.","Outreach/ResumeGenerator ops; Hevo data ops; FlairX AI PM.","Product ops, strategic projects, forward-deployed, product",watch,company,~200-500,Amsterdam/Remote,https://toloka.ai,web_verified_2026_07
Prolific,https://www.prolific.com,ai_expert_network_high_velocity,"artificial-intelligence,expert-network,data-labeling,research-participants,marketplace,rlhf","Vetted-participant marketplace for AI training data and human research/eval; used by labs and researchers.","Prolific is a vetted-human marketplace for AI data/eval: recruiting-engine + candidate-vetting story (FlairX/Outreach) maps directly to their supply/matching product.","FlairX AI PM (vetting); Outreach recruiting engine; data engineering.","Product, product ops, strategic projects, growth",watch,company,~100-300,Remote/London,https://www.prolific.com,web_verified_2026_07
